Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
Fifth Settlement,Nasr City,Cairo,Cairo,2024-06-22 03:33:00,Saturday,3,51.22,20.79,4.235193443402625,88.05,Uber Bus,Cash,4.3
6th October,Fifth Settlement,Giza,Cairo,2024-06-27 12:03:00,Thursday,12,14.96,10.84,3.6515150539178394,39.58,Uber Comfort,Credit Card,4.3
Sheikh Zayed,Haram,Giza,Giza,2024-06-08 12:07:00,Saturday,12,16.04,10.17,3.395904192087205,34.54,Uber Bus,Cash,3.8
Rehab,6th October,Cairo,Giza,2024-06-02 16:29:00,Sunday,16,19.05,6.95,3.717150971834138,25.83,Uber Bus,Wallet,4.3
Downtown,Faisal,Cairo,Giza,2024-06-24 02:42:00,Monday,2,47.67,22.89,5.347084035893011,122.39,Uber Bus,Cash,5.0
6th October,Haram,Giza,Giza,2024-06-22 07:44:00,Saturday,7,27.89,18.62,4.99538004176142,93.01,Uber Scooter,Credit Card,4.9
Haram,Zamalek,Giza,Cairo,2024-06-27 09:10:00,Thursday,9,18.05,6.2,3.380190983636868,20.96,Uber Bus,Wallet,4.8
Obour,Mohandessin,Qalyubia,Giza,2024-06-14 10:39:00,Friday,10,53.32,27.37,3.9355724253302977,107.72,Uber Scooter,Cash,4.0
Zamalek,Shubra,Cairo,Cairo,2024-06-01 16:53:00,Saturday,16,33.64,16.35,4.54179731224872,74.26,Uber Bus,Wallet,4.2
Obour,Haram,Qalyubia,Giza,2024-06-11 17:27:00,Tuesday,17,29.72,19.57,3.354033221827231,65.64,UberX,Cash,4.1
Zamalek,Nasr City,Cairo,Cairo,2024-06-20 09:57:00,Thursday,9,35.04,23.36,3.217080754824845,75.15,Uber Scooter,Cash,3.8
Zamalek,Dokki,Cairo,Giza,2024-06-30 03:47:00,Sunday,3,7.54,4.37,3.329065279869404,14.55,Uber Scooter,Credit Card,4.3
Zamalek,Maadi,Cairo,Cairo,2024-06-07 02:50:00,Friday,2,16.15,6.1,3.0628016090020256,18.68,UberX,Wallet,3.9
6th October,Obour,Giza,Qalyubia,2024-06-18 05:31:00,Tuesday,5,16.85,8.7,3.1065671542460063,27.03,Uber Comfort,Cash,4.9
Shubra,Zamalek,Cairo,Cairo,2024-06-28 12:46:00,Friday,12,30.84,12.79,4.430012804187293,56.66,Uber Bus,Cash,4.9
Obour,Mohandessin,Qalyubia,Giza,2024-06-13 16:33:00,Thursday,16,59.01,25.13,3.194204170269484,80.27,Uber Comfort,Cash,4.9
Nasr City,Heliopolis,Cairo,Cairo,2024-06-05 02:37:00,Wednesday,2,38.8,22.54,4.756662174470883,107.22,UberX,Credit Card,4.7
Mohandessin,Dokki,Giza,Giza,2024-06-11 21:20:00,Tuesday,21,31.76,14.71,5.060643247033726,74.44,Uber Comfort,Cash,4.2
Faisal,6th October,Giza,Giza,2024-06-07 23:06:00,Friday,23,17.27,12.67,3.7771901169984297,47.86,Uber Bus,Credit Card,4.5
Faisal,6th October,Giza,Giza,2024-06-07 08:53:00,Friday,8,37.59,27.11,3.478693302012812,94.31,Uber Scooter,Wallet,5.0
Shubra,10th of Ramadan,Cairo,Sharqia,2024-06-25 23:12:00,Tuesday,23,24.63,16.45,5.31035982373786,87.36,UberX,Wallet,4.1
Maadi,Downtown,Cairo,Cairo,2024-06-19 11:42:00,Wednesday,11,15.47,9.69,5.475918909693844,53.06,UberX,Cash,5.0
Mohandessin,6th October,Giza,Giza,2024-06-12 00:54:00,Wednesday,0,20.03,10.64,5.017259399464798,53.38,Uber Scooter,Credit Card,4.3
Nasr City,Mohandessin,Cairo,Giza,2024-06-18 20:36:00,Tuesday,20,47.94,17.56,3.5965154810821662,63.15,Uber Bus,Wallet,3.8
Zamalek,Rehab,Cairo,Cairo,2024-06-04 04:05:00,Tuesday,4,25.0,14.45,4.763010421193902,68.83,Uber Comfort,Cash,4.4
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-05 13:04:00,Wednesday,13,29.05,18.48,4.581207011745127,84.66,UberX,Cash,4.0
Faisal,6th October,Giza,Giza,2024-06-21 16:37:00,Friday,16,32.31,12.0,5.045769591531036,60.55,Uber Comfort,Wallet,4.4
Shubra,Obour,Cairo,Qalyubia,2024-06-22 08:30:00,Saturday,8,5.06,3.67,3.6687500760467824,13.46,Uber Bus,Wallet,3.6
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-27 18:40:00,Thursday,18,38.65,25.86,3.626512246797671,93.78,UberX,Wallet,4.7
Faisal,Ain Shams,Giza,Cairo,2024-06-25 00:53:00,Tuesday,0,55.41,25.72,5.039372133961109,129.61,Uber Scooter,Wallet,4.5
Shorouk,Zamalek,Cairo,Cairo,2024-06-04 13:41:00,Tuesday,13,13.54,9.9,4.410664206423975,43.67,Uber Comfort,Credit Card,4.8
Nasr City,Fifth Settlement,Cairo,Cairo,2024-06-15 09:29:00,Saturday,9,68.37,27.37,5.368068050562524,146.92,UberX,Cash,4.2
Dokki,Nasr City,Giza,Cairo,2024-06-16 11:28:00,Sunday,11,50.93,28.14,5.277324698206788,148.5,UberX,Credit Card,5.0
New Cairo,Rehab,Cairo,Cairo,2024-06-22 00:57:00,Saturday,0,15.05,9.27,3.41160958163258,31.63,Uber Bus,Credit Card,4.3
Dokki,Ain Shams,Giza,Cairo,2024-06-08 18:09:00,Saturday,18,23.48,13.77,4.07343002227694,56.09,Uber Scooter,Credit Card,4.5
10th of Ramadan,Shubra,Sharqia,Cairo,2024-06-20 02:51:00,Thursday,2,41.18,26.34,4.199797637363405,110.62,Uber Bus,Wallet,4.7
Dokki,Ain Shams,Giza,Cairo,2024-06-28 05:33:00,Friday,5,39.32,25.05,4.713738550164828,118.08,UberX,Wallet,3.9
Ain Shams,Fifth Settlement,Cairo,Cairo,2024-06-16 03:13:00,Sunday,3,47.09,19.88,3.5160990468532,69.9,UberX,Wallet,4.4
Dokki,Fifth Settlement,Giza,Cairo,2024-06-16 18:24:00,Sunday,18,69.1,29.01,4.55015255645061,132.0,Uber Comfort,Cash,3.7
Faisal,Maadi,Giza,Cairo,2024-06-06 09:12:00,Thursday,9,30.86,14.35,4.366185169660895,62.65,Uber Scooter,Cash,4.3
Faisal,Fifth Settlement,Giza,Cairo,2024-06-02 21:05:00,Sunday,21,11.09,5.25,5.485642212512982,28.8,UberX,Credit Card,4.4
Sheikh Zayed,Downtown,Giza,Cairo,2024-06-13 09:13:00,Thursday,9,15.46,6.22,3.297294765042437,20.51,Uber Bus,Credit Card,3.7
6th October,Haram,Giza,Giza,2024-06-15 19:07:00,Saturday,19,32.92,23.76,5.087523818190915,120.88,Uber Bus,Cash,3.7
6th October,10th of Ramadan,Giza,Sharqia,2024-06-26 06:51:00,Wednesday,6,20.26,11.81,3.682470836378844,43.49,Uber Comfort,Wallet,4.4
Ain Shams,Downtown,Cairo,Cairo,2024-06-12 14:13:00,Wednesday,14,18.75,8.5,5.24033215016765,44.54,Uber Scooter,Cash,4.2
Dokki,10th of Ramadan,Giza,Sharqia,2024-06-10 11:54:00,Monday,11,4.25,2.56,5.462425170589546,13.98,Uber Scooter,Wallet,4.8
Downtown,Faisal,Cairo,Giza,2024-06-15 04:32:00,Saturday,4,34.91,18.47,5.344015506175051,98.7,Uber Comfort,Cash,4.7
6th October,Zamalek,Giza,Cairo,2024-06-06 19:32:00,Thursday,19,5.09,2.67,3.684526377315997,9.84,Uber Comfort,Wallet,4.3
Zamalek,Rehab,Cairo,Cairo,2024-06-15 15:48:00,Saturday,15,17.97,11.89,3.457855970794833,41.11,Uber Scooter,Cash,4.1
10th of Ramadan,Maadi,Sharqia,Cairo,2024-06-24 00:20:00,Monday,0,11.38,7.13,4.792831539339383,34.17,Uber Scooter,Cash,4.4
Fifth Settlement,10th of Ramadan,Cairo,Sharqia,2024-06-14 12:42:00,Friday,12,27.83,12.2,3.842046111918047,46.87,Uber Comfort,Credit Card,4.2
Faisal,Heliopolis,Giza,Cairo,2024-06-12 13:48:00,Wednesday,13,34.22,23.6,4.334037229272309,102.28,UberX,Credit Card,4.9
Faisal,Shubra,Giza,Cairo,2024-06-26 20:50:00,Wednesday,20,6.84,3.12,4.169627561332628,13.01,Uber Comfort,Cash,4.1
Rehab,Dokki,Cairo,Giza,2024-06-27 08:05:00,Thursday,8,45.6,29.25,4.001641465972748,117.05,Uber Comfort,Wallet,4.0
10th of Ramadan,Haram,Sharqia,Giza,2024-06-10 04:59:00,Monday,4,43.25,25.95,4.80602963223887,124.72,Uber Comfort,Credit Card,4.6
Heliopolis,Sheikh Zayed,Cairo,Giza,2024-06-02 08:27:00,Sunday,8,58.63,19.76,3.379765764073284,66.78,Uber Bus,Cash,4.0
Dokki,Mohandessin,Giza,Giza,2024-06-01 08:03:00,Saturday,8,50.98,19.0,4.826897421542491,91.71,UberX,Cash,4.6
Ain Shams,Faisal,Cairo,Giza,2024-06-17 05:13:00,Monday,5,69.51,27.92,3.565336077588888,99.54,UberX,Cash,4.9
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-11 05:04:00,Tuesday,5,58.85,24.75,5.132352369788069,127.03,UberX,Credit Card,4.4
Maadi,Fifth Settlement,Cairo,Cairo,2024-06-15 02:40:00,Saturday,2,66.54,23.07,4.961763128649186,114.47,Uber Bus,Credit Card,4.2
Shorouk,Shubra,Cairo,Cairo,2024-06-04 14:26:00,Tuesday,14,35.65,14.78,3.600624235712862,53.22,Uber Comfort,Cash,4.1
Nasr City,Downtown,Cairo,Cairo,2024-06-08 08:29:00,Saturday,8,18.6,12.86,5.150793119676655,66.24,Uber Comfort,Wallet,4.4
Zamalek,Obour,Cairo,Qalyubia,2024-06-28 10:12:00,Friday,10,8.51,4.81,3.110439461747436,14.96,Uber Comfort,Wallet,3.9
New Cairo,Haram,Cairo,Giza,2024-06-12 08:37:00,Wednesday,8,36.2,14.86,3.040270120942281,45.18,Uber Bus,Cash,3.6
Obour,Ain Shams,Qalyubia,Cairo,2024-06-15 23:54:00,Saturday,23,36.21,16.42,4.069525919588166,66.82,Uber Bus,Cash,4.7
10th of Ramadan,Ain Shams,Sharqia,Cairo,2024-06-26 13:04:00,Wednesday,13,38.13,19.54,3.1687622106973485,61.92,UberX,Cash,4.1
Haram,10th of Ramadan,Giza,Sharqia,2024-06-15 12:53:00,Saturday,12,30.41,20.18,5.457116959436339,110.12,Uber Comfort,Cash,4.0
Shubra,New Cairo,Cairo,Cairo,2024-06-11 16:10:00,Tuesday,16,25.87,11.52,3.313249829225265,38.17,Uber Bus,Credit Card,4.0
Haram,Rehab,Giza,Cairo,2024-06-25 13:28:00,Tuesday,13,40.71,27.51,4.916385489352019,135.25,UberX,Wallet,4.4
6th October,Nasr City,Giza,Cairo,2024-06-27 01:33:00,Thursday,1,7.41,3.09,4.952383476241624,15.3,Uber Scooter,Credit Card,4.7
Mohandessin,Faisal,Giza,Giza,2024-06-15 17:08:00,Saturday,17,4.36,2.32,4.70052728062006,10.91,Uber Comfort,Credit Card,4.0
10th of Ramadan,Shubra,Sharqia,Cairo,2024-06-28 22:23:00,Friday,22,19.21,13.14,3.9270467552244654,51.6,Uber Bus,Wallet,3.9
Nasr City,Fifth Settlement,Cairo,Cairo,2024-06-23 10:39:00,Sunday,10,19.98,11.91,3.1779800533318747,37.85,Uber Bus,Credit Card,4.6
New Cairo,6th October,Cairo,Giza,2024-06-18 06:02:00,Tuesday,6,24.88,9.24,3.2961632358278994,30.46,UberX,Credit Card,3.8
Obour,Fifth Settlement,Qalyubia,Cairo,2024-06-01 07:40:00,Saturday,7,20.44,13.78,3.628962778727471,50.01,Uber Comfort,Credit Card,4.3
Heliopolis,Mohandessin,Cairo,Giza,2024-06-02 09:20:00,Sunday,9,26.1,11.39,4.671780154224537,53.21,Uber Bus,Cash,4.4
New Cairo,Rehab,Cairo,Cairo,2024-06-04 11:50:00,Tuesday,11,72.56,26.74,4.948373608493366,132.32,Uber Bus,Credit Card,3.9
Shubra,Dokki,Cairo,Giza,2024-06-14 19:56:00,Friday,19,8.31,3.86,4.061365443906941,15.68,Uber Bus,Cash,4.1
New Cairo,Sheikh Zayed,Cairo,Giza,2024-06-09 08:35:00,Sunday,8,34.67,22.78,3.1884885182170386,72.63,Uber Bus,Wallet,3.8
6th October,Shorouk,Giza,Cairo,2024-06-05 14:50:00,Wednesday,14,30.76,19.44,4.376377645777674,85.08,Uber Scooter,Wallet,3.6
Obour,Mohandessin,Qalyubia,Giza,2024-06-21 01:14:00,Friday,1,22.29,8.3,4.456255544704902,36.99,UberX,Wallet,4.0
6th October,Dokki,Giza,Giza,2024-06-08 22:46:00,Saturday,22,33.84,19.48,5.4756151638772055,106.66,UberX,Credit Card,4.7
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-11 17:20:00,Tuesday,17,9.73,4.35,3.5864955778580327,15.6,UberX,Credit Card,3.7
6th October,Zamalek,Giza,Cairo,2024-06-19 23:31:00,Wednesday,23,24.9,11.28,4.691134035203244,52.92,Uber Bus,Cash,4.6
Rehab,Sheikh Zayed,Cairo,Giza,2024-06-30 08:30:00,Sunday,8,14.86,10.66,5.432904853870241,57.91,UberX,Wallet,4.3
Fifth Settlement,10th of Ramadan,Cairo,Sharqia,2024-06-30 19:07:00,Sunday,19,41.08,24.57,3.113999238865689,76.51,UberX,Cash,4.6
Shubra,Ain Shams,Cairo,Cairo,2024-06-17 03:39:00,Monday,3,32.4,22.43,4.300443753978545,96.46,UberX,Credit Card,4.4
Ain Shams,Dokki,Cairo,Giza,2024-06-03 14:33:00,Monday,14,32.9,12.03,3.5565095257059984,42.78,Uber Bus,Credit Card,4.3
Shorouk,Haram,Cairo,Giza,2024-06-03 18:43:00,Monday,18,35.03,24.05,3.02005280729593,72.63,Uber Scooter,Wallet,4.0
Maadi,Haram,Cairo,Giza,2024-06-18 19:53:00,Tuesday,19,51.89,21.78,4.466137119670179,97.27,Uber Bus,Wallet,4.0
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-16 21:55:00,Sunday,21,32.82,11.83,4.926289144185448,58.28,UberX,Wallet,3.7
Ain Shams,Zamalek,Cairo,Cairo,2024-06-26 10:19:00,Wednesday,10,15.68,10.03,4.564122323579372,45.78,UberX,Cash,4.1
Downtown,Obour,Cairo,Qalyubia,2024-06-19 16:37:00,Wednesday,16,13.41,9.48,4.132495247799905,39.18,Uber Bus,Wallet,4.5
Obour,Zamalek,Qalyubia,Cairo,2024-06-21 01:43:00,Friday,1,31.6,14.15,4.639502183489787,65.65,UberX,Cash,4.3
New Cairo,Nasr City,Cairo,Cairo,2024-06-15 11:37:00,Saturday,11,3.67,2.18,3.4334833422023703,7.48,Uber Bus,Credit Card,3.9
Maadi,Shorouk,Cairo,Cairo,2024-06-30 04:03:00,Sunday,4,38.27,24.08,4.902953286808175,118.06,Uber Scooter,Cash,4.9
Fifth Settlement,Downtown,Cairo,Cairo,2024-06-15 16:53:00,Saturday,16,35.97,26.56,4.759288155016049,126.41,Uber Bus,Credit Card,4.2
Haram,Dokki,Giza,Giza,2024-06-07 15:00:00,Friday,15,28.08,16.68,4.292063762964581,71.59,Uber Scooter,Wallet,3.6
Zamalek,Rehab,Cairo,Cairo,2024-06-07 16:31:00,Friday,16,15.41,8.12,3.0926493457994537,25.11,UberX,Wallet,4.4
Zamalek,Ain Shams,Cairo,Cairo,2024-06-12 18:37:00,Wednesday,18,43.63,24.94,4.299106491823865,107.22,Uber Comfort,Wallet,4.7
10th of Ramadan,New Cairo,Sharqia,Cairo,2024-06-21 01:37:00,Friday,1,37.27,22.52,4.55713056711499,102.63,Uber Bus,Cash,3.7
New Cairo,6th October,Cairo,Giza,2024-06-23 13:18:00,Sunday,13,77.57,28.78,4.4745587869961545,128.78,Uber Bus,Wallet,4.1
Dokki,10th of Ramadan,Giza,Sharqia,2024-06-10 08:22:00,Monday,8,24.17,13.19,3.6749106653683694,48.47,Uber Scooter,Wallet,4.9
Haram,6th October,Giza,Giza,2024-06-18 01:00:00,Tuesday,1,20.15,12.95,4.355336189767094,56.4,Uber Scooter,Cash,4.4
Mohandessin,Obour,Giza,Qalyubia,2024-06-19 15:58:00,Wednesday,15,19.42,13.93,4.05275714853336,56.45,Uber Comfort,Credit Card,4.8
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-06 01:47:00,Thursday,1,23.44,13.74,4.578836974013846,62.91,UberX,Cash,4.0
Fifth Settlement,Ain Shams,Cairo,Cairo,2024-06-17 14:00:00,Monday,14,40.45,26.34,4.370254083664814,115.11,Uber Comfort,Wallet,4.6
6th October,Faisal,Giza,Giza,2024-06-28 12:02:00,Friday,12,32.9,23.17,3.914993456365679,90.71,UberX,Cash,3.6
10th of Ramadan,Dokki,Sharqia,Giza,2024-06-22 23:31:00,Saturday,23,29.3,19.15,4.8794167901072365,93.44,Uber Bus,Wallet,4.8
Shubra,Haram,Cairo,Giza,2024-06-16 01:12:00,Sunday,1,42.09,29.95,4.812018192268479,144.12,Uber Bus,Wallet,4.3
Heliopolis,10th of Ramadan,Cairo,Sharqia,2024-06-10 05:29:00,Monday,5,8.61,5.85,3.3575845081344347,19.64,Uber Bus,Wallet,4.9
Zamalek,Shorouk,Cairo,Cairo,2024-06-20 19:41:00,Thursday,19,18.18,11.49,3.2173702685871683,36.97,UberX,Credit Card,4.3
Zamalek,6th October,Cairo,Giza,2024-06-05 14:58:00,Wednesday,14,17.89,6.62,3.601244005299799,23.84,Uber Comfort,Wallet,3.8
New Cairo,Faisal,Cairo,Giza,2024-06-12 00:53:00,Wednesday,0,18.84,9.22,5.480919138207692,50.53,Uber Bus,Wallet,3.9
Maadi,Shubra,Cairo,Cairo,2024-06-29 20:33:00,Saturday,20,12.53,7.0,4.277921280052341,29.95,Uber Comfort,Wallet,3.7
Shorouk,Shubra,Cairo,Cairo,2024-06-21 20:31:00,Friday,20,18.51,10.22,4.6139445464463655,47.15,Uber Bus,Cash,3.9
Dokki,Shorouk,Giza,Cairo,2024-06-19 05:58:00,Wednesday,5,29.67,20.9,5.222907904403274,109.16,Uber Comfort,Wallet,3.9
10th of Ramadan,Downtown,Sharqia,Cairo,2024-06-30 19:51:00,Sunday,19,7.74,3.44,4.4815679257930086,15.42,Uber Bus,Credit Card,3.6
Nasr City,Ain Shams,Cairo,Cairo,2024-06-01 04:06:00,Saturday,4,18.35,12.01,5.057170259871231,60.74,Uber Bus,Credit Card,3.9
Downtown,Dokki,Cairo,Giza,2024-06-16 10:23:00,Sunday,10,45.92,24.72,3.358215595593146,83.02,Uber Comfort,Wallet,4.1
Dokki,Nasr City,Giza,Cairo,2024-06-14 17:24:00,Friday,17,4.25,2.32,4.367328431121502,10.13,Uber Scooter,Credit Card,4.4
New Cairo,Nasr City,Cairo,Cairo,2024-06-09 01:01:00,Sunday,1,25.56,17.54,3.075360775126064,53.94,UberX,Wallet,4.3
Downtown,Heliopolis,Cairo,Cairo,2024-06-26 18:31:00,Wednesday,18,41.48,15.49,3.89178653832852,60.28,Uber Scooter,Cash,4.9
Zamalek,New Cairo,Cairo,Cairo,2024-06-01 20:19:00,Saturday,20,32.0,17.0,5.028796164583391,85.49,Uber Scooter,Cash,3.6
Shubra,10th of Ramadan,Cairo,Sharqia,2024-06-27 02:59:00,Thursday,2,35.49,24.97,3.2691582660014094,81.63,Uber Scooter,Cash,4.3
Zamalek,10th of Ramadan,Cairo,Sharqia,2024-06-07 01:19:00,Friday,1,17.96,6.18,5.01236545287416,30.98,UberX,Cash,4.0
Sheikh Zayed,Heliopolis,Giza,Cairo,2024-06-01 08:39:00,Saturday,8,25.2,14.79,3.186986568347593,47.14,Uber Scooter,Cash,4.7
Ain Shams,Heliopolis,Cairo,Cairo,2024-06-08 01:56:00,Saturday,1,8.05,4.03,4.728691684912736,19.06,UberX,Wallet,3.8
10th of Ramadan,Shorouk,Sharqia,Cairo,2024-06-30 02:23:00,Sunday,2,17.43,7.7,4.630856191398545,35.66,UberX,Cash,4.3
New Cairo,Mohandessin,Cairo,Giza,2024-06-27 21:48:00,Thursday,21,13.11,6.6,5.152359630582241,34.01,Uber Bus,Cash,5.0
Downtown,Dokki,Cairo,Giza,2024-06-23 22:40:00,Sunday,22,16.53,10.65,5.325801213996464,56.72,Uber Bus,Credit Card,3.6
Heliopolis,Rehab,Cairo,Cairo,2024-06-18 04:31:00,Tuesday,4,22.7,9.8,4.030074475971261,39.49,Uber Comfort,Wallet,4.3
Ain Shams,Shorouk,Cairo,Cairo,2024-06-01 01:59:00,Saturday,1,15.14,11.25,3.0069456104792303,33.83,Uber Comfort,Wallet,4.1
10th of Ramadan,Dokki,Sharqia,Giza,2024-06-20 04:40:00,Thursday,4,6.82,2.5,3.6787083539125582,9.2,UberX,Cash,3.9
Maadi,Zamalek,Cairo,Cairo,2024-06-04 12:01:00,Tuesday,12,54.8,26.44,3.055062086605272,80.78,UberX,Credit Card,4.0
Shorouk,Faisal,Cairo,Giza,2024-06-29 13:05:00,Saturday,13,38.52,16.91,4.771796886431604,80.69,Uber Comfort,Credit Card,4.9
Fifth Settlement,6th October,Cairo,Giza,2024-06-14 22:44:00,Friday,22,10.31,7.45,4.514655153169183,33.63,Uber Bus,Cash,4.6
Sheikh Zayed,Mohandessin,Giza,Giza,2024-06-26 18:05:00,Wednesday,18,40.52,13.92,5.0022928091592345,69.63,UberX,Wallet,4.4
Maadi,Faisal,Cairo,Giza,2024-06-19 22:23:00,Wednesday,22,50.55,20.12,4.233531628895081,85.18,UberX,Wallet,4.6
New Cairo,Fifth Settlement,Cairo,Cairo,2024-06-25 14:12:00,Tuesday,14,3.95,2.31,3.5216432657816465,8.13,Uber Bus,Wallet,4.7
Downtown,Zamalek,Cairo,Cairo,2024-06-15 15:54:00,Saturday,15,15.76,9.68,3.4567607153379463,33.46,UberX,Cash,4.8
Zamalek,Dokki,Cairo,Giza,2024-06-11 05:23:00,Tuesday,5,6.03,4.4,3.9453209239717584,17.36,Uber Scooter,Wallet,3.5
Maadi,10th of Ramadan,Cairo,Sharqia,2024-06-26 06:01:00,Wednesday,6,36.41,18.73,4.1334799228401975,77.42,UberX,Wallet,4.5
Obour,Shorouk,Qalyubia,Cairo,2024-06-03 19:09:00,Monday,19,39.45,28.44,3.082080808479507,87.65,UberX,Cash,3.7
Nasr City,New Cairo,Cairo,Cairo,2024-06-25 16:46:00,Tuesday,16,26.97,17.67,3.4136219103522008,60.32,UberX,Wallet,4.7
Sheikh Zayed,6th October,Giza,Giza,2024-06-09 05:33:00,Sunday,5,40.87,21.33,4.468289307147166,95.31,Uber Bus,Credit Card,3.7
Rehab,Zamalek,Cairo,Cairo,2024-06-12 02:05:00,Wednesday,2,5.0,2.44,3.5646758396198184,8.7,Uber Bus,Cash,4.0
Shubra,Nasr City,Cairo,Cairo,2024-06-23 08:57:00,Sunday,8,41.44,28.13,3.699727659856205,104.07,Uber Comfort,Wallet,4.4
